Infections,Probability
0.00E+00,0.2224
1,0.2777
2,0.3307
3,0.386
4,0.4531
5,0.5171
6,0.5769
7,0.6425
8,0.6985
9,0.7523
10,0.795
11,0.8334
12,0.8673
13,0.8931
14,0.9153
15,0.9337
16,0.9492
17,0.9596
18,0.9691
